station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,data_provider,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,source_url,source_last_updated,licence,attribution,verification_status,verification_notes,boundary_status,boundary_authority_code,boundary_authority_name,boundary_dataset,boundary_filter_timestamp,boundary_filter_version
airis_65c6914bc87cf72b6a3b,285666,Tesco Superstore - Penarth,"Terra Nova Way, Penarth",CF64 1SA,51.445999,-3.186151,POD Point (UK),Open Charge Map Contributors,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285666,2025-03-10T06:29:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_9173dfee665071b979e5,285657,"Arcott Street, Barry","Arcott Street, Barry",CF64 1ET,51.44093,-3.176069,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285657,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_7b0dd82fa4140caeb152,285651,"Albert Road, Barry","Albert Road, Vale of Glamorgan, Barry",CF64 1BZ,51.439078,-3.173322,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285651,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_80578d8d9885bdcae429,214029,Cliff Parade Car Park,"Cliff Parade Car Park, Penarth",CF64 5BP,51.42745,-3.17186,Connected Kerb,UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/214029,2023-02-13T04:24:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_b94c2cdd62ccc9e64cdb,149140,Tesco Extra-Culverhouse Cross,"Culverhouse Cross, Cardiff",CF5 6XQ,51.466577,-3.274567,POD Point (UK),Open Charge Map Contributors,operational,4.0,4.0,7.0,public,£0.44/kWh,https://openchargemap.org/site/poi/details/149140,2023-04-09T05:20:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_e651fb146402b585af35,259469,InstaVolt Valegate Retail Park,"Valegate Retail Park, Culverhouse Cross, Cardiff, Wales",CF5 6EH,51.464141,-3.2746159,InstaVolt Ltd,Open Charge Map Contributors,operational,2.0,4.0,120.0,public,£0.75/kWh,https://openchargemap.org/site/poi/details/259469,2023-04-03T08:27:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_e96c847af49026f6e43c,260847,Cosmeston Lakes Country Car Park,"Cosmeston Lakes Country Car Park, Penarth",CF64 5UY,51.415938,-3.182292,Connected Kerb,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/260847,2023-05-03T08:51:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_d5b25a8ed4046d3f1c37,101139,Barry Power Station,"Sully Moors Road, Palmerstown, Sully, Vale of Glamorgan",CF64,51.409163004328384,-3.228540095770313,Charge & Drive (Fortum - NO),Open Charge Map Contributors,operational,2.0,2.0,7.0,private,Free,https://openchargemap.org/site/poi/details/101139,2018-03-18T17:35:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_8881deac9233859a9757,285575,"Cadoxton Moors Community Centre, Barry","Cadoxton Moors Community Centre, Barry",CF63 2NX,51.411935,-3.242214,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285575,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_e07edfe839100fdcfdda,214011,DRAX00227,"Malthouse Avenue, Cardiff",CF23 8RA,51.4113,-3.24684,Drax Energy Solutions Limited,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/214011,2023-05-04T08:39:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_1e80684c79f9118d964e,285584,"Victoria Park Community Centre, Barry","Victoria Park Community Centre, Barry",CF63 1JY,51.414496,-3.255916,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285584,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_5398b43ae11e3e8c625a,285600,Gibbinsdown & Treharne Community Centre,"Gibbinsdown and Treharne Community Centre, Barry",CF62 9DF,51.418548,-3.267057,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285600,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_122ac13808ff822bb3a2,24153,National Trust Dyffryn Gardens,"St Nicholas, Vale of Glamorgan, Wales",CF5 6SU,51.444863,-3.301556,Zero Carbon World,Open Charge Map Contributors,operational,1.0,1.0,7.0,public,,https://openchargemap.org/site/poi/details/24153,2023-06-11T22:15:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_686077998c9de4b59f63,285542,"Court Road Multi Storey, Barry","Court Road Multi Storey Car Park, Vale Of Gla, Cardiff",CF63 4AF,51.407148,-3.263081,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285542,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_3dabe34a3db45a7cf13f,285544,"Barry Library, Barry","Barry Library Car Park, Barry",CF63 4EL,51.40736,-3.26647,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285544,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_7aab6581307d81dd7cc4,187633,Port Road West,"Port Road West, Barry",CF62 8ZJ,51.415471,-3.287487,POD Point (UK),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.35/kWh,https://openchargemap.org/site/poi/details/187633,2024-12-03T06:21:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_ca5c5a805e5788dbe1fd,285529,"Thompson Street, Barry","Thompson Street Car Park, Vale of Glamorgan, Barry",CF63 4LH,51.40487,-3.270489,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285529,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_f3bdfa352821e69c3355,200652,"The Twyn Car Park, Caerphilly","Castle Street, Caerphilly",CF83 1JL,51.574885,-3.21807,Silverstone Green Energy,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/200652,2023-05-04T08:49:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_5eb5715e5fe12319417b,173041,Tesco Superstore-Barry,"Stirling Road, Shopping Precinct, Barry",CF62 8NX,51.414462,-3.290265,POD Point (UK),Open Charge Map Contributors,operational,4.0,6.0,50.0,public,£0.49/kWh,https://openchargemap.org/site/poi/details/173041,2024-04-20T05:22:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_e8ea8aebf06f63cf18c1,285526,"Kendrick Road, Barry","Kendrick Road Car Park, Vale of Glamorgan, Barry",CF63 4HD,51.404091,-3.27213,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285526,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_dc03b92dfce3c235a65b,135576,InstaVolt Waterfront Retail Park,"Waterfront Retail Park, Barry",CF64 4BA,51.401095,-3.268866,InstaVolt Ltd,Open Charge Map Contributors,operational,2.0,4.0,50.0,public,£0.75/kWh,https://openchargemap.org/site/poi/details/135576,2023-04-03T08:29:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_c4b466c0654970ad04ab,167024,Morrisons Caerphilly,"44 Castle St, Caerphilly, Wales",CF83 1NU,51.57727,-3.215604,The GeniePoint Network ( EQUANS EV Solutions ),Open Charge Map Contributors,operational,,3.0,50.0,public,£1 connection fee then 30p per kw,https://openchargemap.org/site/poi/details/167024,2020-10-07T12:45:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_942cb171bb0286d52bed,260057,Red Kite Pub & Restaurant,"Nantgarw Road, Caerphilly",CF83 2AX,51.5713,-3.2447787,Osprey Charging,Open Charge Map Contributors,operational,4.0,6.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/260057,2024-08-29T15:08:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_aaa3551cfff207a65945,213993,Morrisons,"Penny Way, Barry",CF63 4BA,51.401489,-3.271728,The GeniePoint Network ( EQUANS EV Solutions ),UK National Charge Point Registry,,,,50.0,public,,https://openchargemap.org/site/poi/details/213993,2023-05-04T08:39:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_a45b3529c7cf68ca4b3d,286425,"Aber Railway Station, Nantgarw Road","Aber Railway Station, Nantgarw Road, Carephilly",CF83 1AT,51.576004,-3.23067,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/286425,2023-12-07T08:11:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_d7524140b1411ab84e05,285518,"Broad Street, Barry","Broad Street, Vale Of Glamorgan, Barry",CF62 7AH,51.401858,-3.277924,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285518,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_b314399b940845a06fc0,251106,BSC2 Carpark,"BSC2 Carpark, Barry",CF62 5QL,51.400511,-3.27942,Connected Kerb,UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/251106,2023-03-08T04:15:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_aab3010ae8dddbc6910e,47114,ASDA Barry Superstore,"Ffordd y Mileniwm, Barry Island, Barry, Vale of Glamorgan",CF62 5AT,51.397175,-3.278613,BP Pulse (UK),Open Charge Map Contributors,operational,4.0,4.0,7.0,public,Inclusive; for Polar Plus subscription members only,https://openchargemap.org/site/poi/details/47114,2019-03-06T06:22:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_b48efd1f68193afc345b,259892,Green Lady,"Green Lady, Pontygwindy Raod, Caerphilly",CF83 3HF,51.584257,-3.219711,Osprey Charging,Open Charge Map Contributors,operational,4.0,4.0,75.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/259892,2024-07-09T12:50:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_f60f3eaf934c72f81eb3,285479,"Nell?s Point, Barry","Nell?s Point Car Park, Barry",CF62 5AH,51.391034,-3.270785,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285479,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_2f033618fe8ae9c0bfcf,285483,"Harbour Road, Barry","Harbour Road Car Park, Barry",CF62 5BJ,51.392784,-3.278988,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285483,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_2bc25ba0284fdae7d418,286506,Tesco Superstore - Caerphilly,"Parc Pontypandy Crossways Retail Park, Caerphilly",CF83 3NL,51.589753,-3.21213,POD Point (UK),Open Charge Map Contributors,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/286506,2025-03-10T06:35:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_423f15ff2979af258f31,200709,Navigation Street Car Park,"Navigation Street, Trethomas",CF83 8DJ,51.592386,-3.18374,Silverstone Green Energy,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/200709,2023-05-04T08:49:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_cc1cdce6253e605c3d01,149810,Gallagher Retail Park,"Parc Pontypandy, Porset, Caerphilly",CF83 3GX,51.5904159,-3.2150822,InstaVolt Ltd,Open Charge Map Contributors,operational,2.0,4.0,62.0,public,£0.75/kWh,https://openchargemap.org/site/poi/details/149810,2023-04-03T08:29:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_e96c9a039c569b2b212a,268050,MISKIN V21,"Renishaw plc Miskin, Pontyclun",CF72 8XY,51.506801,-3.35311,ChargePoint,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/268050,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_757c2e789ed3550ffe10,268046,MISKIN A3,"Renishaw plc Miskin, Pontyclun",CF72 8XY,51.506204,-3.353569,ChargePoint,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/268046,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_07ae7048ee577fe2e2e3,268047,MISKIN A10,"Renishaw plc Miskin, Pontyclun",CF72 8XY,51.506315,-3.353846,ChargePoint,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/268047,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_a7c9e865947035aabc9c,268048,MISKIN A19,"Renishaw plc Miskin, Pontyclun",CF72 8XY,51.506439,-3.354223,ChargePoint,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/268048,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_1a2e162e06579395168b,127107,Dŵr Cymru Welsh Water Newport,"Celtic Springs Business Park, Newport",NP10  8FZ,51.557838,-3.044388,Hubsta,Open Charge Map Contributors,operational,2.0,2.0,7.0,private,,https://openchargemap.org/site/poi/details/127107,2019-05-27T22:07:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_9cc21bf4353cf0533b88,285482,"Bron Y Mor, Barry","Bron Y Mor Car Park, Vale of Glamorgan, Barry",CF62 6SW,51.392234,-3.292299,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285482,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
