station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,data_provider,source_url,source_last_updated,licence,attribution,verification_status,boundary_status,flood_river_band,flood_river_score,flood_sea_band,flood_sea_score,flood_surface_water_band,flood_surface_water_score,flood_score,flood_dominant_source,flood_match_count,lsoa_code,lsoa_name,income_deprivation_percentage,deprivation_score,deprivation_match_status,enrichment_timestamp,dataset_version,verification_notes,boundary_authority_code,boundary_authority_name,boundary_dataset,boundary_filter_timestamp,boundary_filter_version,flood_river_match_count,flood_sea_match_count,flood_surface_water_match_count,flood_data_version,flood_enrichment_timestamp,flood_enrichment_status,flood_enrichment_notes,flood_hazard_source_count,deprivation_match_count,deprivation_candidate_codes,deprivation_match_ambiguous,deprivation_match_method,lsoa_name_welsh,deprivation_source,deprivation_source_release,deprivation_enrichment_timestamp,deprivation_enrichment_notes,verified_dataset_status,verified_dataset_notes
airis_0175f0f6390e84ca0eb6,285782,"Castle Mews, Cardiff","Castle Mews Car Park, Cardiff",CF10 3EW,51.48512,-3.182573,Connected Kerb,unknown,,,22.0,public,,UK National Charge Point Registry,https://openchargemap.org/site/poi/details/285782,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01002019,Cathays 12,10.5,10.5,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01002019,False,polygon covers point,Caerdydd 032H,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_0235119709426a653f5d,100171,InstaVolt Bannatyne Health Club & Spa,"Parc Ty Glas, Llanishen, Cardiff",CF14 5DU,51.5242172,-3.1918042,InstaVolt Ltd,operational,2.0,4.0,50.0,public,£0.75/kWh,Open Charge Map Contributors,https://openchargemap.org/site/poi/details/100171,2023-04-03T08:29:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01001791,Llanishen 1,14.0,14.0,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01001791,False,polygon covers point,Caerdydd 005A,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_0328717e3cea0ac1806f,265999,EVC Holiday Inn Express Cardiff,"Longueil Close, Schooner Way, Cardiff",CF10 4EE,51.47244440973024,-3.164669448584325,Roam Charging (UK),operational,4.0,4.0,22.0,public,,Open Charge Map Contributors,https://openchargemap.org/site/poi/details/265999,2023-05-26T09:40:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01001944,Butetown 5,18.3,18.3,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01001944,False,polygon covers point,Caerdydd 048C,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_0335f6a8946af5ec92c5,88787,St David's Shopping Centre,"St David's Shopping Centre Bridge Street Arcade, Cardiff",CF10 2EQ,51.479103,-3.174819,Tesla (Tesla-only charging),operational,2.0,2.0,13.0,public,,Open Charge Map Contributors,https://openchargemap.org/site/poi/details/88787,2018-10-03T15:07:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01002019,Cathays 12,10.5,10.5,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01002019,False,polygon covers point,Caerdydd 032H,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_046f7aff802305a339e7,47246,NCP Dumfries Place,"Dumfries Place, Cardiff",CF10 3FN,51.478001,-3.16922,BP Pulse (UK),operational,2.0,4.0,7.0,public,Inclusive; for Polar Plus subscription members only. Parking fees apply,Open Charge Map Contributors,https://openchargemap.org/site/poi/details/47246,2019-03-06T06:32:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,Low,35,Low,35,35,sea|surface_water,2,W01001695,Adamsdown 2,19.1,19.1,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,1,1,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,2,1,W01001695,False,polygon covers point,Caerdydd 036B,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_081d317754d82aaf4090,260068,Park Place,"Park Place, Cardiff",CF10 3RL,51.485936,-3.176613,Osprey Charging,operational,4.0,4.0,50.0,public,£0.79/kWh,Open Charge Map Contributors,https://openchargemap.org/site/poi/details/260068,2024-07-09T12:50:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01002019,Cathays 12,10.5,10.5,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01002019,False,polygon covers point,Caerdydd 032H,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_0866395be71fb88857e7,252001,DRAX00238,"Tyndall Street, Cardiff",CF10 4BE,51.47672,-3.16755,Drax Energy Solutions Limited,,,,22.0,public,,UK National Charge Point Registry,https://openchargemap.org/site/poi/details/252001,2023-05-04T08:42:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01001951,Butetown 7,13.8,13.8,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01001951,False,polygon covers point,Caerdydd 049E,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_096a150517372b2a668d,94121,Wessex Garages Cardiff,"289 Penarth Road, Cardiff",CF11 8AQ,51.468083,-3.206283,Nissan UK Dealer Network,operational,2.0,2.0,7.0,public,1,Open Charge Map Contributors,https://openchargemap.org/site/poi/details/94121,2024-11-15T14:05:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01001711,Canton 3,36.7,36.7,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01001711,False,polygon covers point,Caerdydd 040C,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_0ece004f3926dd3d2f6a,117888,Ibis Budget Cardiff,"Ibis Budget Cardiff, Tyndall Street, Cardiff",CF10 4BE,51.476021,-3.168791,BP Pulse (UK),operational,1.0,1.0,4.0,public,Inclusive; for Polar Plus subscription members only,Open Charge Map Contributors,https://openchargemap.org/site/poi/details/117888,2019-03-08T06:39:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01001951,Butetown 7,13.8,13.8,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01001951,False,polygon covers point,Caerdydd 049E,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
airis_0ed5376b3910e85bcdda,52763,NCP Greyfriars Road,"Greyfriars Road, Cardiff",CF10 3AD,51.483101,-3.17577,BP Pulse (UK),operational,2.0,4.0,7.0,public,£0.59/kWh; other tariffs available. £1.70 per hour for type 2,Open Charge Map Contributors,https://openchargemap.org/site/poi/details/52763,2023-04-03T16:58:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,inside,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,"No mapped Low, Medium or High classification matched.",0,0,"No mapped Low, Medium or High classification matched.",0,W01002019,Cathays 12,10.5,10.5,resolved,2026-07-20T21:45:15.935639+00:00,AIRIS_CARDIFF_VERIFIED_FRAW2026_WIMD2025_V1,,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0,0,0,0,FRAW catalogue 2026-05-21 | river layer 2026-05-21 sha256:5E26DD370C446C48BC69F7CAC19FC71633F771E4C04B53A55AD8F2C48DF06CF2 | sea layer 2026-05-21 sha256:125999A7F1C4C46F281B03F2B2E98985BFBE88BA8F61424132FAA364F3E7DFFA | surface_water layer 2022-11-28 sha256:432444DC177277C9CEF467E24A798224C27E053904B5AA471B7604646204D22D,2026-07-20T19:20:50.001880+00:00,enriched,,0,1,W01002019,False,polygon covers point,Caerdydd 032H,WIMD 2025 income and employment indicators,WIMD 2025,2026-07-20T21:45:15.935639+00:00,,usable,
