station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,data_provider,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,source_url,source_last_updated,licence,attribution,verification_status,verification_notes
airis_0ed5376b3910e85bcdda,52763,NCP Greyfriars Road,"Greyfriars Road, Cardiff",CF10 3AD,51.483101,-3.17577,BP Pulse (UK),Open Charge Map Contributors,operational,2.0,4.0,7.0,public,£0.59/kWh; other tariffs available. £1.70 per hour for type 2,https://openchargemap.org/site/poi/details/52763,2023-04-03T16:58:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_ebc43ac93e04c395c139,60879,St. David's Shopping Centre Car Park,"Hills Street, Butetown, Cardiff",CF10 2EQ,51.47922,-3.17476750000003,BP Pulse (UK),Open Charge Map Contributors,operational,4.0,4.0,7.0,public,Inclusive; for Polar Plus subscription members only,https://openchargemap.org/site/poi/details/60879,2019-03-08T06:29:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_0335f6a8946af5ec92c5,88787,St David's Shopping Centre,"St David's Shopping Centre Bridge Street Arcade, Cardiff",CF10 2EQ,51.479103,-3.174819,Tesla (Tesla-only charging),Open Charge Map Contributors,operational,2.0,2.0,13.0,public,,https://openchargemap.org/site/poi/details/88787,2018-10-03T15:07:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_3937d5c1246b2b3ccff2,252108,St Davids Shopping Centre Car Park,"St Davids Shopping Centre Car Park, Cardiff",CF10 2EQ,51.479366,-3.173753,BP Pulse (UK),UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/252108,2023-05-03T08:36:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_3a9e8f8f09cb7adc2b8d,252105,St Davids Shopping Centre Car Park,"St Davids Shopping Centre Car Park, Cardiff",CF10 2EQ,51.47934,-3.173709,BP Pulse (UK),UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/252105,2023-05-03T08:36:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_32723c6ba4bd541dbc1f,209611,St David's Dewi Sant Shopping Centre,"St David's Dewi Sant Shopping Centre, Crockherbtown, Cardiff",CF10 2EQ,51.478574,-3.174714,POD Point (UK),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.49/kWh,https://openchargemap.org/site/poi/details/209611,2024-07-09T12:50:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_0175f0f6390e84ca0eb6,285782,"Castle Mews, Cardiff","Castle Mews Car Park, Cardiff",CF10 3EW,51.48512,-3.182573,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285782,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
airis_33ebf06eb2009e555419,259897,Windsor Place,"Windsor Place, Cardiff",CF10 3BZ,51.483881,-3.173242,Osprey Charging,Open Charge Map Contributors,operational,4.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/259897,2024-08-23T10:31:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_081d317754d82aaf4090,260068,Park Place,"Park Place, Cardiff",CF10 3RL,51.485936,-3.176613,Osprey Charging,Open Charge Map Contributors,operational,4.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/260068,2024-07-09T12:50:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,
airis_9965ba6bb8a4717a281d,157867,NCP Dumfries Place,"NCP Dumfries Place, Cardiff",CF10 3FN,51.484352,-3.172482,BP Pulse (UK),UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/157867,2023-05-03T08:36:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,
